Date,SATL,MELI,MHVYF,RTX
2021-10-04,9.930000305175781,1650.9000244140625,26.59000015258789,88
2021-10-05,9.920000076293945,1603.72998046875,26.59000015258789,89.48999786376953
2021-10-06,9.90999984741211,1577.18994140625,26.59000015258789,89.4000015258789
2021-10-07,9.914999961853027,1580.6500244140625,26.59000015258789,90.62999725341797
2021-10-08,9.930000305175781,1571.4599609375,26.59000015258789,90.83000183105469
2021-10-11,9.90999984741211,1506.3599853515625,26.59000015258789,91.37999725341797
2021-10-12,9.930000305175781,1488.989990234375,26.59000015258789,90.55999755859375
2021-10-13,9.9399995803833,1524.18994140625,26.59000015258789,90
2021-10-14,9.930000305175781,1544.0999755859375,26.3799991607666,90.47000122070312
2021-10-15,9.930000305175781,1572.8599853515625,26.899999618530273,91.29000091552734
2021-10-18,9.925999641418457,1610,26.899999618530273,91.12000274658203
2021-10-19,9.930000305175781,1619.3499755859375,26.899999618530273,91.48999786376953
2021-10-20,9.930000305175781,1614.449951171875,27.610000610351562,91.91000366210938
2021-10-21,9.920000076293945,1613.8599853515625,26.950000762939453,91.66999816894531
2021-10-22,9.920000076293945,1583.4300537109375,26.59000015258789,92.31999969482422
2021-10-25,9.930999755859375,1561.8599853515625,26.950000762939453,91.9800033569336
2021-10-26,10.039999961853027,1552.1800537109375,26.549999237060547,91.19000244140625
2021-10-27,9.9399995803833,1549,26.549999237060547,90.55999755859375
2021-10-28,9.949999809265137,1528.52001953125,26.360000610351562,89.80999755859375
2021-10-29,9.949999809265137,1504.3299560546875,25.75,89.76000213623047
2021-11-01,9.949999809265137,1500,25.420000076293945,89.19000244140625
2021-11-02,9.949000358581543,1509.4200439453125,26.25,88.80999755859375
2021-11-03,9.949999809265137,1546.699951171875,25.219999313354492,88.79000091552734
2021-11-04,9.9399995803833,1568.719970703125,25.219999313354492,89.08999633789062
2021-11-05,9.949999809265137,1705.1400146484375,25.219999313354492,91.2300033569336
2021-11-08,9.949999809265137,1664.97998046875,25.219999313354492,91.66999816894531
2021-11-09,9.949999809265137,1711.02001953125,25.5,91.06999969482422
2021-11-10,9.949999809265137,1698.3499755859375,24.809999465942383,91.44000244140625
2021-11-11,9.949999809265137,1626.6700439453125,24.690000534057617,90.41999816894531
2021-11-12,9.960000038146973,1607.5,24.690000534057617,89.25
2021-11-15,9.979999542236328,1642.6099853515625,25.06999969482422,89.62999725341797
2021-11-16,9.979999542236328,1550,24.75,89.81999969482422
2021-11-17,9.979999542236328,1540.989990234375,24.75,89.05000305175781
2021-11-18,9.979999542236328,1486.699951171875,24.84000015258789,87.79000091552734
2021-11-19,9.979999542236328,1454.5799560546875,24.43000030517578,86.25
2021-11-22,9.979999542236328,1435,24.770000457763672,87.63999938964844
2021-11-23,9.979999542236328,1337.2099609375,24.770000457763672,87.73999786376953
2021-11-24,9.979999542236328,1308.300048828125,24.850000381469727,87.4800033569336
2021-11-26,10,1296.6300048828125,24.360000610351562,83.58999633789062
2021-11-29,9.989999771118164,1292.449951171875,23.950000762939453,84.44999694824219
2021-11-30,9.979999542236328,1246.989990234375,22.799999237060547,82.5
2021-12-01,9.979999542236328,1215,22.799999237060547,82.13999938964844
2021-12-02,9.979999542236328,1140,23,82.2300033569336
2021-12-03,9.960000038146973,1138.1400146484375,22.6299991607666,82.12000274658203
2021-12-06,9.880000114440918,1116.8399658203125,22.6200008392334,84.38999938964844
2021-12-07,9.73900032043457,1197.93994140625,22.6200008392334,85.80000305175781
2021-12-08,10.59000015258789,1211.6500244140625,22.6200008392334,87.6500015258789
2021-12-09,10.210000038146973,1221.18994140625,23.549999237060547,86.56999969482422
2021-12-10,9.979999542236328,1184.989990234375,23.31999969482422,86.9800033569336
2021-12-13,10.039999961853027,1183,22.790000915527344,85.94000244140625
2021-12-14,10.039999961853027,1193.18994140625,22.969999313354492,84.73999786376953
2021-12-15,9.850000381469727,1219.739990234375,22.950000762939453,83.72000122070312
2021-12-16,9.59000015258789,1260.300048828125,23.25,84.5199966430664
2021-12-17,9.515000343322754,1200.8199462890625,23.270000457763672,83.0199966430664
2021-12-20,10.005999565124512,1200,23.270000457763672,81.3499984741211
2021-12-21,9.989999771118164,1232,23,83.91999816894531
2021-12-22,10,1241,22.3799991607666,84.75
2021-12-23,10,1265.6600341796875,23.559999465942383,85.19999694824219
2021-12-27,9.75,1310.52001953125,23.40999984741211,85.4000015258789
2021-12-28,9.699999809265137,1331.4100341796875,22.639999389648438,86.3499984741211
2021-12-29,9.6899995803833,1330,23.280000686645508,86.06999969482422
2021-12-30,9.850000381469727,1359.6099853515625,23.219999313354492,86.5
2021-12-31,9.755000114440918,1365.969970703125,23.040000915527344,86.33000183105469
2022-01-03,9.9399995803833,1360.77001953125,23.280000686645508,87.13999938964844
2022-01-04,9.949999809265137,1338.949951171875,23.709999084472656,90.06999969482422
2022-01-05,10.579999923706055,1214.3800048828125,23.709999084472656,91.52999877929688
2022-01-06,10.199999809265137,1160.3299560546875,23.709999084472656,90.93000030517578
2022-01-07,10.199999809265137,1144.510009765625,23.709999084472656,91.37000274658203
2022-01-10,10.149999618530273,1057.760009765625,23.709999084472656,90.79000091552734
2022-01-11,10,1175.5999755859375,26,90.83999633789062
2022-01-12,9.850000381469727,1227.31005859375,27.399999618530273,91.55000305175781
2022-01-13,9.75,1208.5400390625,27.399999618530273,92.45999908447266
2022-01-14,9.779999732971191,1143.3599853515625,27.739999771118164,92.4800033569336
2022-01-18,9.770000457763672,1148.260009765625,27.440000534057617,91.9000015258789
